ip;date;Montant;Capital;Nombredemois;Taux
127.0.0.1;1634985938;122.07;10000;84;.71
127.0.0.1;1635084383;12.55;1000;81;.48
127.0.0.1;1635084509;0.01;1,000.00;81.00;0.48
127.0.0.1;1635084574;0.01;1;81;0.48
127.0.0.1;1635084623;0.13;10;81;0.48
127.0.0.1;1635084644;0.13;10;81;0.48
127.0.0.1;1635084669;0.15;12;81;0.48
127.0.0.1;1635084786;154.92;12345;81;0.48
127.0.0.1;1635084793;154.92;12345;81;0.48
127.0.0.1;1635084810;154.92;12345;81;0.48
127.0.0.1;1635084840;154.92;12345;81;0.48
127.0.0.1;1635084846;154.92;12345;81;0.48
127.0.0.1;1635084856;15.06;1200;81;0.48
127.0.0.1;1635084867;1.5059073298496E+21;1.2E+23;81;0.48
127.0.0.1;1635084886;1.5059073298496E+47;1.2E+49;81;0.48
127.0.0.1;1635084956;1.5059073298496E+47;1.2E+49;81;0.48
127.0.0.1;1635085013;1.5059073298496E+47;1.2E+49;81;0.48
127.0.0.1;1635085024;1.5059073298496E+47;1.2E+49;81;0.48
127.0.0.1;1635085049;15.06;1200;81;0.48
127.0.0.1;1635085068;15.58;1200;81;1.48
127.0.0.1;1635095892;685.55;50151.2;75;0.79
127.0.0.1;1635096689;685.55;50151.2;75;0.79
127.0.0.1;1635096749;1092.88;80050;75;0.75
